impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,location_for_map,Memo
K16-087915,A488648,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1521417,LOST,Tiny One,Dog,Over 1 year,Male,Chihuahua - Smooth Coated,Unknown,02/29/2016 12:00:00 AM,Date Lost,HORTON AND MLK,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1521417,Image Copyright HLP Inc. 2016,"HORTON AND MLK
(35.213183, -86.078293)",Description: Has a freckled nose.<p></p>Age: Over 1 year<p></p>Location Lost: Horton and MLK<p></p>Notes: New contact number than what's on collar is 206-492-4362.  He has brown spots<p></p>Lost Date: 02/29/2016<p></p>
K16-087898,A487465,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A487465,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Rosie,Cat,2 MONTHS,Spayed Female,Domestic Shorthair,Tortie,02/29/2016 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A487465,Image Copyright HLP Inc. 2016,"12040 NE 85TH ST
KIRKLAND, WA 98033
(47.679306, -122.179979)","Received on: 2016-02-29<p></p> Description: Tortie<p></p>  Spayed Female Domestic Shorthair Cat<p></p> Age: 2 MONTHS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p><p></p> Adoption Fee: $100.00<p></p>"
K16-087897,A487470,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A487470,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Baxter,Cat,2 MONTHS,Neutered Male,Domestic Shorthair,Black / White,02/29/2016 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A487470,Image Copyright HLP Inc. 2016,"12040 NE 85TH ST
KIRKLAND, WA 98033
(47.679306, -122.179979)","Received on: 2016-02-29<p></p> Description: Black / White<p></p>  Neutered Male Domestic Shorthair Cat<p></p> Age: 2 MONTHS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p><p></p> Adoption Fee: $100.00<p></p>"
K16-087888,A488548,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,4 YEARS,Unaltered,Domestic Shorthair,Brn Tabby,02/29/2016 12:00:00 AM,Received on,23500 104TH AVE SE,KENT,WA,98031,KENT,37.090608,-95.712816,,Image Copyright HLP Inc. 2016,"23500 104TH AVE SE
KENT, WA 98031
(47.391027, -122.202218)","Received on: 2016-02-29<p></p> Found Near: 23500 104TH AVE SE, KENT WA 98031<p></p> Description: Brn Tabby Unaltered Domestic Shorthair Cat<p></p> Age: 4 YEARS<p></p>"
K16-087886,A488544,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488544,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,3 YEARS,Male,Domestic Shorthair,Brn Tabby,02/29/2016 12:00:00 AM,Received on,27400 149TH PL SE,KENT,WA,98042,KENT,37.090608,-95.712816,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488544,Image Copyright HLP Inc. 2016,"27400 149TH PL SE
KENT, WA 98042
(47.356614, -122.14228)","Received on: 2016-02-29<p></p> Found Near: 27400 149TH PL SE, KENT WA 98042<p></p> Description: Brn Tabby Male Domestic Shorthair Cat<p></p> Age: 3 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087887,A488547,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488547,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,9 YEARS,Spayed Female,Miniature Pinscher,Black / Brown,02/29/2016 12:00:00 AM,Received on,24600 101ST PL SE,KENT,WA,98030,KENT,37.090608,-95.712816,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488547,Image Copyright HLP Inc. 2016,"24600 101ST PL SE
KENT, WA 98030
(47.381608, -122.205525)","Received on: 2016-02-29<p></p> Found Near: 24600 101ST PL SE, KENT WA 98030<p></p> Description: Black / Brown Spayed Female Miniature Pinscher Dog<p></p> Age: 9 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087891,A488574,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488574,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,9 MONTHS,Male,Bulldog,Tan / White,02/29/2016 12:00:00 AM,Received on,15600 SE 240TH ST,KENT,WA,98042,KING COUNTY,37.090608,-95.712816,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488574,Image Copyright HLP Inc. 2016,"15600 SE 240TH ST
KENT, WA 98042
(47.386915, -122.132537)","Received on: 2016-02-29<p></p> Found Near: 15600 SE 240TH ST, KENT WA 98042<p></p> Description: Tan / White Male Bulldog Dog<p></p> Age: 9 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087890,A488572,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488572,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 MONTHS,Male,Domestic Shorthair,Black,02/29/2016 12:00:00 AM,Received on,11000 SE 240TH PL,KENT,WA,98030,KENT,37.090608,-95.712816,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488572,Image Copyright HLP Inc. 2016,"11000 SE 240TH PL
KENT, WA 98030
(47.386534, -122.19503)","Received on: 2016-02-29<p></p> Found Near: 11000 SE 240TH PL, KENT WA 98030<p></p> Description: Black Male Domestic Shorthair Cat<p></p> Age: 4 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087872,A488487,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488487,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 MONTHS,Male,Domestic Shorthair,Black,02/28/2016 12:00:00 AM,Received on,26500 161ST AVE SE,COVINGTON,WA,98042,COVINGTON,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488487,Image Copyright HLP Inc. 2016,"26500 161ST AVE SE
COVINGTON, WA 98042
(47.36334, -122.127499)","Received on: 2016-02-28<p></p> Found Near: 26500 161ST AVE SE, COVINGTON WA 98042<p></p> Description: Black Male Domestic Shorthair Cat<p></p> Age: 4 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087877,A488493,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1520426,LOST,Hattie,Dog,Over 1 year,Female,Beagle,Unknown,02/28/2016 12:00:00 AM,Date Lost,44100 SE TANNER RD,NORTH BEND,WA,98045,NORTH BEND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1520426,Image Copyright HLP Inc. 2016,"44100 SE TANNER RD
NORTH BEND, WA 98045
(47.478376, -121.751924)",Description: <p></p>Age: Over 1 year<p></p>Location Lost: 44119 SE TANNER RD<p></p>Notes: <p></p>Lost Date: 02/28/2016<p></p>
K16-087864,A488478,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488478,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,NO AGE,Neutered Male,Domestic Shorthair,Brn Tabby,02/28/2016 12:00:00 AM,Received on,10600 SE 244TH ST,KENT,WA,98030,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488478,Image Copyright HLP Inc. 2016,"10600 SE 244TH ST
KENT, WA 98030
(47.383364, -122.199388)","Received on: 2016-02-28<p></p> Found Near: 10600 SE 244TH ST, KENT WA 98030<p></p> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087870,A488486,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488486,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 MONTHS,Male,Domestic Shorthair,Black / White,02/28/2016 12:00:00 AM,Received on,26500 161ST AVE SE,COVINGTON,WA,98042,COVINGTON,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488486,Image Copyright HLP Inc. 2016,"26500 161ST AVE SE
COVINGTON, WA 98042
(47.36334, -122.127499)","Received on: 2016-02-28<p></p> Found Near: 26500 161ST AVE SE, COVINGTON WA 98042<p></p> Description: Black / White Male Domestic Shorthair Cat<p></p> Age: 4 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087874,A488489,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488489,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 YEARS,Male,Domestic Mediumhair,Gray / White,02/28/2016 12:00:00 AM,Received on,11000 SE 240TH PL,KENT,WA,98030,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488489,Image Copyright HLP Inc. 2016,"11000 SE 240TH PL
KENT, WA 98030
(47.386534, -122.19503)","Received on: 2016-02-28<p></p> Found Near: 11000 SE 240TH PL, KENT WA 98030<p></p> Description: Gray / White Male Domestic Mediumhair Cat<p></p> Age: 4 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087867,A488481,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488481,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,NO AGE,Male,Domestic Shorthair,Black / White,02/28/2016 12:00:00 AM,Received on,10000 18TH AVE SW,SEATTLE,WA,98146,KING COUNTY,37.090608,-95.712816,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488481,Image Copyright HLP Inc. 2016,"10000 18TH AVE SW
SEATTLE, WA 98146
(47.51277, -122.35737)","Received on: 2016-02-28<p></p> Found Near: 10000 18TH AVE SW, SEATTLE WA 98146<p></p> Description: Black / White Male Domestic Shorthair Cat<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087866,A488480,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488480,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,NO AGE,Male,Domestic Shorthair,Org Tabby / White,02/28/2016 12:00:00 AM,Received on,10000 18TH AVE SW,SEATTLE,WA,98146,KING COUNTY,37.090608,-95.712816,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488480,Image Copyright HLP Inc. 2016,"10000 18TH AVE SW
SEATTLE, WA 98146
(47.51277, -122.35737)","Received on: 2016-02-28<p></p> Found Near: 10000 18TH AVE SW, SEATTLE WA 98146<p></p> Description: Org Tabby / White Male Domestic Shorthair Cat<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087873,A488488,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488488,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,3 MONTHS,Male,Domestic Shorthair,Black,02/28/2016 12:00:00 AM,Received on,11000 SE 240TH PL,KENT,WA,98030,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488488,Image Copyright HLP Inc. 2016,"11000 SE 240TH PL
KENT, WA 98030
(47.386534, -122.19503)","Received on: 2016-02-28<p></p> Found Near: 11000 SE 240TH PL, KENT WA 98030<p></p> Description: Black Male Domestic Shorthair Cat<p></p> Age: 3 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087869,A486941,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A486941,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Moonchild,Dog,1 YEAR 8 MONTHS,Spayed Female,Pit Bull / Mix,Br Brindle,02/28/2016 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A486941,Image Copyright HLP Inc. 2016,,"Received on: 2016-02-28<p></p> Description: Br Brindle<p></p>  Spayed Female Pit Bull / Mix Dog<p></p> Age: 1 YEAR 8 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p><p></p> Adoption Fee: $200.00<p></p>"
K16-087854,A488466,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488466,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,8 YEARS,Female,Domestic Shorthair,Brn Tabby / White,02/27/2016 12:00:00 AM,Received on,22800 92ND AVE S,KENT,WA,98031,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488466,Image Copyright HLP Inc. 2016,"22800 92ND AVE S
KENT, WA 98031
(47.397617, -122.218032)","Received on: 2016-02-27<p></p> Found Near: 22800 92ND AVE S, KENT WA 98031<p></p> Description: Brn Tabby / White Female Domestic Shorthair Cat<p></p> Age: 8 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087846,A416478,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A416478,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mozart,Cat,3 YEARS,Neutered Male,Domestic Shorthair,Gray Tabby,02/27/2016 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A416478,Image Copyright HLP Inc. 2016,,"Received on: 2016-02-27<p></p> Description: Gray Tabby<p></p>  Neutered Male Domestic Shorthair Cat<p></p> Age: 3 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p><p></p> Adoption Fee: $30.00<p></p>"
K16-087847,A488458,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A488458,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Gray / White,02/27/2016 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488458,Image Copyright HLP Inc. 2016,,"Received on: 2016-02-27<p></p> Description: Gray / White<p></p>  Neutered Male Domestic Shorthair Cat<p></p> Age: 2 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p><p></p> Adoption Fee: $30.00<p></p>"
K16-087857,A488472,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A488472,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,5 YEARS,Neutered Male,Chihuahua - Smooth Coated / Mix,Chocolate / Tan,02/27/2016 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488472,Image Copyright HLP Inc. 2016,,"Received on: 2016-02-27<p></p> Description: Chocolate / Tan<p></p>  Neutered Male Chihuahua - Smooth Coated / Mix Dog<p></p> Age: 5 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p><p></p> Adoption Fee: $200.00<p></p>"
K16-087851,A488462,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488462,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Jack,Cat,13 YEARS,Neutered Male,Domestic Shorthair,Black / White,02/27/2016 12:00:00 AM,Received on,19200 11TH PL S,SEATAC,WA,98148,SEATAC,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488462,Image Copyright HLP Inc. 2016,"19200 11TH PL S
SEATAC, WA 98148
(47.429222, -122.320103)","Received on: 2016-02-27<p></p> Found Near: 19200 11TH PL S, SEATAC WA 98148<p></p> Description: Black / White Neutered Male Domestic Shorthair Cat<p></p> Age: 13 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087878,A488494,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1520510,LOST,Jinx,Cat,Under 1 year,Male,American Shorthair,Unknown,02/27/2016 12:00:00 AM,Date Lost,1100 17TH AVE,SEATTLE,WA,98122,SEATTLE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1520510,Image Copyright HLP Inc. 2016,"1100 17TH AVE
SEATTLE, WA 98122
(47.611762, -122.310174)","Description: Sweet, playful 10 month old kitten.  No collar, doesn't always respond to Jinx, his name. Has cute ear tufts.<p></p>Age: Under 1 year<p></p>Location Lost: 1101 17th ave #206 Seattle, WA 98122<p></p>Notes: Jinx is an indoor 10 month old kitten.  He's sweet with ear tufts.   He was last seen on 17th and Spring streets in South Capitol hill.<p></p>Lost Date: 02/27/2016<p></p>"
